model_year,make,model,body_style,transmission_type,vin,state,condition,mileage,color,interior,seller,market_value,selling_price,sale_date
2024,Nissan,Altima,Sedan,Manual,47DTBVTBFWVJCD4TJ,CA,68,24597,Black,Beige,Santander Consumer USA,17767,18636,2026-01-30
2026,BMW,3 Series,Sedan,Automatic,L7G9PS153UYZW0F2E,OR,88,377,Gold,White,Santander Consumer USA,56376,58971,2026-01-17
2025,Kia,Soul,Wagon,Automatic,Y4NN07DG1MW3VBKTF,MD,93,9767,Beige,Red,AutoNation,23389,24350,2025-12-07
2023,Toyota,Tundra,Truck,Automatic,U2NX7DRTC7JBZTN5A,MN,83,35241,Blue,Tan,Ford Motor Credit Company,30709,30147,2026-02-12
2021,Am General,M1097A,Truck,Automatic,50U8XPZMWVTL5PU0Z,MO,51,57682,Black,Brown,Sonic Automotive,6545,6268,2026-01-05
2022,Jeep,Cherokee,SUV,Manual,WBR8J19ACCMNYS1D4,KY,92,45952,Beige,Brown,Penske Automotive,24966,25676,2026-02-11
2009,Kaiser,M54,Truck,Automatic,TG2JZX4ND9NNGE7JS,TN,39,195450,Gray,White,Enterprise Fleet Management,756,745,2025-12-22
2025,BMW,X3,SUV,Automatic,86R0CK6CFDCDSZTML,IL,81,10711,Black,Tan,Vroom,47119,45710,2026-02-14
2021,Lucid,Air,Sedan,Automatic,G2MB12M58AGAN1U6M,MO,79,71125,Green,Beige,Crankyanky Auto,40510,41470,2026-02-19
2008,BMW,3 Series,Sedan,Automatic,KBW9KW6NKHJWSZVLN,MN,31,239910,Beige,Gray,Hendrick Automotive,1688,1607,2026-02-09
2025,Rivian,R1S,SUV,Automatic,VVVN93RCEHE3ZKANA,MD,77,13468,Brown,Black,Lithia Motors,66280,65788,2026-02-24
2017,Tesla,Model Y,SUV,Automatic,C5CPL937SPG19BUEJ,VA,41,136661,Red,Black,Vroom,5022,5153,2026-01-17
2010,Mercedes-Benz,GLC,SUV,Automatic,3J5EHJM24CWKUKJVT,IL,50,211657,Gray,Gray,Crankyanky Auto,3107,3225,2026-02-13
2023,Chrysler,300,Sedan,Automatic,DVNDMH3ZL67UG7MDA,KS,88,30594,Green,Brown,Carvana,29276,28567,2026-03-02
2017,Nissan,Altima,Sedan,Automatic,S9ZJ731VVUDM0TERK,IN,69,92816,Green,Black,Sonic Automotive,5930,5469,2026-02-20
2026,Toyota,RAV4,SUV,Automatic,GMRNWS6KS09JRTPJM,WI,92,497,Silver,Tan,Ford Motor Credit Company,40308,38074,2026-02-05
2007,Volkswagen,Jetta,Sedan,Automatic,WC196UTYFG4GBRXX5,AZ,25,81878,White,Red,Penske Automotive,969,891,2026-02-02
2021,Lucid,Air,Sedan,Automatic,14J9GFMXP3T68JPL8,OR,80,36860,Gold,Tan,TDAF Remarketing,46438,46506,2025-12-25
2024,Am General,M1097A,Truck,Automatic,ATUF08CKAZ31R62X9,PA,99,20415,Silver,Gray,Ford Motor Credit Company,18699,18386,2026-01-22
2022,Ford,Mustang,Sedan,Automatic,90JNBW2ATGAV7H64B,CO,98,45075,Black,Black,Hendrick Automotive,30965,29155,2025-12-21
2026,Am General,M1097A,Truck,Automatic,JZ0WNA86ESZXUREYX,WA,100,105,White,Red,TDAF Remarketing,27208,25374,2025-12-07
2022,Am General,M1097A,Truck,Automatic,MBS48PAJD9Z7NSB5H,MI,77,62969,Red,Beige,Ford Motor Credit Company,10704,10469,2026-01-06
2002,Chrysler,300,Sedan,Manual,54U0J4KJPSN4RAEPV,MD,21,268981,Green,Gray,Carvana,1035,1086,2026-02-21
2025,BMW,X3,SUV,Automatic,GRH5YYRY4XMJZHG76,CO,93,10900,Red,Brown,Santander Consumer USA,54681,53657,2026-01-23
2020,Mercedes-Benz,E-Class,Sedan,Automatic,CC10B2FDGMXSZ2VZZ,MN,66,94507,Gray,Red,Santander Consumer USA,20956,21284,2026-02-11
2023,Subaru,Outback,Wagon,Automatic,PAFULRHLYLC5TRCRV,IN,93,38170,Beige,Red,Enterprise Fleet Management,29020,30724,2026-03-02
2021,Lucid,Air,Sedan,Automatic,G64AHVT92XBR3AUT2,TX,71,70250,Red,Tan,Hertz Remarketing,35908,38271,2026-01-26
2018,Chevrolet,Malibu,Sedan,Automatic,U7JTTMP5HJSEHR37C,MO,60,75242,Gray,Tan,TDAF Remarketing,6154,6363,2025-12-21
2022,Tesla,Model S,Sedan,Automatic,1WB6AJVNN881N20JX,NY,99,28948,Red,Beige,CarMax,67769,72548,2026-01-30
2015,Subaru,Outback,Wagon,Manual,X8YB5UBBXTKXAAVT8,NY,48,105276,Red,Gray,Shift,3808,3697,2026-01-29
2016,Nissan,Pathfinder,SUV,Automatic,2UFDA0FFZYPR5LYE6,PA,59,168823,White,Gray,AutoNation,4525,4856,2026-01-29
2017,Jeep,Grand Cherokee,SUV,Automatic,LF1J149PNRH6NPV4T,MO,76,91832,Brown,White,Shift,11050,10701,2026-02-25
2024,Tesla,Model Y,SUV,Automatic,7ZPMABAU85UZA2VCJ,KS,66,22637,Black,White,Enterprise Fleet Management,31149,28838,2026-02-28
2002,Jeep,Cherokee,SUV,Automatic,PYB5UPJJMZSUUR47B,WI,14,375950,Red,Beige,Hendrick Automotive,339,337,2026-01-09
2024,Volkswagen,Tiguan,SUV,Automatic,JG91RTDASRGSBZWF6,TN,97,22578,Silver,Brown,Enterprise Fleet Management,30216,32577,2026-01-18
2025,Ford,Maverick,Truck,Automatic,NPH0RKN3G6CF02UJR,NY,73,11308,Gray,Black,Crankyanky Auto,21137,21369,2026-02-25
2024,Toyota,Sienna,Minivan,Automatic,5XRLXKWP3H1S7LLH3,WA,94,23133,Red,Black,TDAF Remarketing,33374,32382,2026-01-14
2015,Ford,Edge,SUV,Automatic,XS5V9NFKXRF09L0CP,MI,58,130616,Brown,Black,AutoNation,4455,4692,2025-12-20
2019,Mercedes-Benz,GLE,SUV,Manual,HR758U4DFEJYRM4UT,MA,65,108053,Green,White,TDAF Remarketing,15840,15053,2025-12-26
2025,Chevrolet,Equinox,SUV,Automatic,8ER20V1B1Y8GFVKUP,TN,78,13286,Brown,Red,TDAF Remarketing,25842,26429,2025-12-30
2002,Am General,M1097A,Truck,Automatic,CAY99K9P22Z0H8D7R,MA,1,196693,Green,Gray,Ford Motor Credit Company,33,31,2026-01-30
2021,Lucid,Air,Sedan,Automatic,FBS3WB5RRAFYE996A,OH,91,43302,Red,Black,Carvana,52755,49503,2026-02-24
2024,Kaiser,M54,Truck,Automatic,R6NWSXYW6HFUFT8SN,AZ,94,18849,White,Tan,Wells Fargo Dealer Services,14093,15147,2026-01-08
2024,Ford,Fusion,Sedan,Automatic,EJSFLJDHT6ALJC54N,KY,93,21199,Black,Tan,Hendrick Automotive,26073,25802,2025-12-17
2012,Tesla,Model S,Sedan,Automatic,SZXSA87E8R6E3127D,CO,51,139613,Black,Gray,Wells Fargo Dealer Services,6672,6254,2026-01-01
2020,Honda,Ridgeline,Truck,Automatic,HC0N5T5JMTN102WA8,OH,58,89694,Silver,Beige,Nissan-Infiniti LT,11387,11126,2025-12-24
2022,Tesla,Model 3,Sedan,Automatic,A3A7VG86HDFDX95YS,OR,100,46927,Gold,White,Ford Motor Credit Company,32464,34552,2026-02-18
2015,Tesla,Model X,SUV,Automatic,85FA0E5N628TY0E9W,MO,62,85896,Beige,Red,Crankyanky Auto,15543,15048,2025-12-22
2021,Ford,Focus,Sedan,Automatic,1B0VNSUYUSMA50C5V,AZ,75,57994,Brown,White,Wells Fargo Dealer Services,11125,11811,2026-02-28
2021,Rivian,R1S,SUV,Automatic,206M5Z3G9R3DF4UUK,MI,68,42571,Silver,Tan,Hendrick Automotive,37235,39939,2025-12-20
2017,Chevrolet,Traverse,SUV,Automatic,A94UXN9RHALNEZ3AG,MA,65,107140,Silver,Black,Lithia Motors,6627,6677,2026-02-03
2019,Kia,Sorento,SUV,Automatic,Z1PW4BFF0PF9YGGMZ,UT,68,79292,Red,Black,Nissan-Infiniti LT,9024,9578,2026-01-23
2025,Kia,Sportage,SUV,Automatic,YEFRPP35TANAEW2TZ,TX,100,9457,Brown,Brown,Ford Motor Credit Company,34413,37111,2026-01-09
2023,Jeep,Grand Cherokee,SUV,Automatic,3SHU3SVHM5G4YHXVT,IL,77,19680,Beige,Tan,TDAF Remarketing,34427,34186,2026-02-18
2026,Dodge,Ram 1500,Truck,Automatic,S3ATWL5HVANYXC52V,GA,100,100,Gray,Beige,DriveTime,61429,64752,2026-01-17
2015,Tesla,Model Y,SUV,Automatic,WJ4KMC90WGV48V966,IL,43,163086,Brown,Tan,Ford Motor Credit Company,3804,3876,2025-12-24
2021,Tesla,Model S,Sedan,Automatic,TE06CAV0H8NZ4K3VE,MN,67,23152,Red,Gray,Santander Consumer USA,41152,42211,2025-12-26
2026,Mercedes-Benz,C-Class,Sedan,Automatic,9KH4KYXX6877FE0DB,UT,93,205,Silver,Black,AutoNation,61332,62091,2025-12-17
2015,Hyundai,Sonata,Sedan,Automatic,377X4P0L6ANSVL1MT,WI,64,107847,Red,Red,DriveTime,4074,4107,2026-01-02
2026,Lucid,Air,Sedan,Automatic,3DAPVTU8AK2CGZ84A,MO,97,263,Black,Tan,Crankyanky Auto,103578,96776,2025-12-27
2019,Toyota,Corolla,Sedan,Automatic,8E2L3W1PTYJVWMJFH,NJ,67,90242,Brown,White,DriveTime,6301,6783,2026-02-18
2016,Dodge,Ram,Truck,Automatic,SNWFX6XA0KR749X6D,TX,54,117398,Silver,Beige,Santander Consumer USA,4696,4429,2026-01-17
2020,Honda,Odyssey,Minivan,Automatic,DRB00HR5MLXHRA1UJ,GA,79,74771,Black,Black,Sonic Automotive,16466,16689,2025-12-10
2026,Chrysler,Pacifica,Minivan,Automatic,XTVVFSH8LC91CA0VH,NY,100,256,White,Red,Financial Services Remarketing,53460,54900,2025-12-27
2018,Nissan,Pathfinder,SUV,Automatic,C9E5V41WZFPPBB5FY,NV,63,79420,Gray,White,DriveTime,9309,9119,2026-01-15
2017,Hyundai,Sonata,Sedan,Automatic,2EN2XBRL94SR2WGDP,VA,61,119201,White,Beige,Hendrick Automotive,4604,4837,2026-02-08
2022,Hyundai,Santa Fe,SUV,Automatic,8D9WNF882X1C3K1SK,MD,49,51457,Black,Tan,Lithia Motors,12795,12433,2026-02-05
2023,Ford,Focus,Sedan,Automatic,C889PM7TVZN5JARUP,NY,88,41959,Beige,Red,Nissan-Infiniti LT,16807,17164,2026-02-07
2017,BMW,X5,SUV,Automatic,4VPDG4HDBG2TD863N,KY,63,53490,Silver,White,Carvana,16003,16595,2026-02-04
2021,Rivian,R1T,Truck,Automatic,BA0D7BHAXC24EJ9AJ,MA,85,58713,Blue,Black,AutoNation,42059,44284,2026-01-26
2022,Volkswagen,Passat,Sedan,Automatic,0N36L81ZJUJYBHUY3,MN,75,39232,Red,White,Lithia Motors,18136,17356,2026-02-07
2025,Subaru,Outback,Wagon,Automatic,TH1V6KJX1KA1G96XY,CO,85,17439,Silver,Gray,Financial Services Remarketing,31854,29492,2026-01-15
2018,Chevrolet,Cruze,Sedan,Automatic,M2JX1N40XD6HJPBPJ,NV,56,93935,Brown,Black,AutoNation,4317,4178,2026-03-02
2021,Lucid,Air,Sedan,Automatic,U82YVYZJEVDK8CX69,UT,77,38075,Gold,Tan,Avis Corporation,47766,45506,2026-01-07
2026,Kaiser,M54,Truck,Automatic,2J0H385639NETHPVR,NJ,94,100,Brown,Red,Hertz Remarketing,19162,18142,2025-12-03
2024,Chevrolet,Equinox,SUV,Automatic,AF1TNXDU8D2BER1BM,GA,89,31308,Black,Brown,Wells Fargo Dealer Services,24630,24856,2025-12-21
2021,Am General,M1097A,Truck,Automatic,TN9G8P67XNTJG4NG1,NJ,74,37146,Brown,Tan,Hertz Remarketing,10100,9594,2026-02-09
2017,Honda,HR-V,SUV,Automatic,FKD8ZF646WR12PKBT,NC,67,105312,Red,Gray,Hendrick Automotive,4838,4832,2025-12-23
2015,Volkswagen,Jetta,Sedan,Automatic,JGVB4SBENN9GJC4PM,OH,52,71788,Gold,Gray,Hendrick Automotive,3564,3753,2026-01-11
2021,Kaiser,M54,Truck,Automatic,HMWUCVHKH0UBBPR27,KS,72,63682,Brown,Brown,Vroom,7016,7291,2025-12-02
2015,Jeep,Wrangler,SUV,Automatic,SZKA90N34GDCNSS3Z,NV,58,150937,Gold,Red,Sonic Automotive,4823,4535,2026-02-17
2021,Lucid,Air,Sedan,Automatic,N8GGVKRMECZTN2VR2,MI,72,55616,Green,Brown,Lithia Motors,41243,43721,2026-01-06
2018,Tesla,Model X,SUV,Automatic,E5GSA91T1UXHBBPY0,TN,67,85727,Black,Beige,Penske Automotive,21762,21947,2025-12-02
2015,Ford,Edge,SUV,Automatic,1H6RRMESERF1ZWFYP,PA,68,110036,Green,Brown,DriveTime,5842,5566,2026-01-12
2009,Chevrolet,Cruze,Sedan,Manual,PZVX9B47FP3E14AE5,GA,38,107183,Brown,Tan,DriveTime,1451,1506,2026-01-19
2024,Volkswagen,Tiguan,SUV,Automatic,F76Y7YNFVJZDJDS0D,MO,100,20110,Gold,Black,Vroom,30786,31377,2026-01-08
2020,Subaru,Forester,SUV,Automatic,MYGY73W42R5RTGM45,MD,62,80401,Brown,Red,Hertz Remarketing,11128,11585,2026-01-11
2022,BMW,X3,SUV,Automatic,BM35LTYR42RTTRMJU,GA,79,64935,Gold,Black,TDAF Remarketing,26847,28837,2026-01-30
2021,Rivian,R1T,Truck,Automatic,EARS5VRNDZZSU8S16,OR,66,45231,White,Tan,CarMax,34948,34709,2026-02-18
2023,Tesla,Model S,Sedan,Automatic,D1DHXCRK5ZS68FAFM,OH,70,42659,Black,Brown,Wells Fargo Dealer Services,52242,53614,2026-02-01
2021,Kaiser,M54,Truck,Automatic,2E750EVMF0TB475G7,UT,76,76986,Beige,Brown,Carvana,6869,6459,2026-02-07
2024,Subaru,Outback,Wagon,Automatic,B861YBW1HD2MDU342,TX,80,27281,Silver,Tan,Hendrick Automotive,26282,24276,2025-12-05
2023,Nissan,Rogue,SUV,Automatic,40RB19TS26MJXGGC4,OH,66,41231,White,Brown,Santander Consumer USA,17427,17776,2026-02-06
2015,Honda,Pilot,SUV,Automatic,J1WJKCG13PUK6F7LY,KS,58,128710,Silver,White,Hertz Remarketing,5483,5501,2026-01-04
2012,Jeep,Gladiator,Truck,Manual,743A38JMEE2MWS399,VA,33,162107,Red,Gray,Santander Consumer USA,1797,1768,2025-12-26
2026,Chevrolet,Malibu,Sedan,Automatic,N924T1PFV9JX4LRKR,KY,97,100,Green,Beige,Hendrick Automotive,35718,34915,2025-12-03
2020,BMW,5 Series,Sedan,Automatic,REZH94D4YLJXNTYWF,AZ,77,96995,Red,Black,Hendrick Automotive,21720,22146,2026-01-20
2019,Jeep,Wagoneer,SUV,Manual,NK1K238FAWXH5XJ1X,MD,80,117344,White,Brown,Enterprise Fleet Management,16859,17242,2025-12-08
2002,Jeep,Wrangler,SUV,Manual,167CT9K74VV0Y2T1V,IL,24,271945,Silver,Beige,Nissan-Infiniti LT,1371,1368,2025-12-05
2010,Dodge,Durango,SUV,Automatic,8JWH4PM7SXE6NHGUS,CO,26,129863,Silver,Brown,Carvana,1695,1722,2025-12-16
2019,Jeep,Wagoneer,SUV,Automatic,7K7GFEB9TCZMW2JT4,NM,57,115272,Blue,Red,Vroom,12846,12459,2026-01-28
2017,Kaiser,M54,Truck,Automatic,SL2ABZWC07V9FKD0E,NC,74,89192,White,Beige,Hendrick Automotive,3538,3433,2026-02-21
2024,Kia,Optima,Sedan,Automatic,2WSAGTNJEXERPXHFS,CO,97,25554,Brown,Brown,Sonic Automotive,24417,26261,2025-12-20
2018,Chrysler,300,Sedan,Automatic,TLBWRA2LZ1SHYU8M9,AZ,80,41442,Green,Tan,Santander Consumer USA,12350,11635,2026-02-25
2003,BMW,5 Series,Sedan,Automatic,F4YGA5DT3KR4W7LK7,AZ,31,128760,Brown,Beige,Lithia Motors,3094,3157,2026-01-20
2002,Am General,M1097A,Truck,Automatic,40ZLTP2GGXLS8GFDS,KY,8,378605,Gray,Black,Crankyanky Auto,112,106,2026-01-12
2023,Toyota,Sienna,Minivan,Automatic,N8NKUTDFWVZNJN2MA,SC,84,35414,Silver,Black,Financial Services Remarketing,28054,28340,2026-01-17
2021,Jeep,Grand Cherokee,SUV,Manual,J3ENYZ4Y4L10SHUJE,NV,74,61494,Brown,Tan,Santander Consumer USA,21071,22572,2026-01-31
2009,Chevrolet,Tahoe,SUV,Manual,JZLWMDU87Y6G1HSXU,AZ,56,146741,Green,Beige,CarMax,5390,5323,2026-02-08
2008,Am General,M1097A,Truck,Automatic,S1J0RMU8UFPKRFNDY,IL,28,120283,Black,Beige,Penske Automotive,954,879,2026-01-08
2023,Hyundai,Sonata,Sedan,Automatic,YPTCHJWX4Z6HAAPYZ,UT,72,42789,Silver,White,Hendrick Automotive,17092,18224,2026-01-17
2016,Toyota,4Runner,SUV,Automatic,525TRYD5XZNTAZ4SU,IN,63,104303,Black,Black,Sonic Automotive,6490,6133,2026-01-19
2026,Volkswagen,Jetta,Sedan,Automatic,S3NX14AT79CSL6R67,NM,100,186,Red,Black,AutoNation,31699,30768,2026-02-06
2018,BMW,X5,SUV,Automatic,X51XY50PMLHHNKY79,KY,75,114599,Gold,Red,Nissan-Infiniti LT,15435,15139,2026-01-08
2005,Chevrolet,Malibu,Sedan,Automatic,VMT9EAMMJWJTMEA98,KY,25,181066,Beige,Gray,Carvana,1043,1082,2025-12-13
2004,Ford,Windstar,Minivan,Automatic,U16H0ZDWEWUTN2WXH,MN,17,203563,Silver,Tan,Penske Automotive,742,684,2025-12-05
2017,Volkswagen,Tiguan,SUV,Automatic,ANUZ5DEL5F4169E8Y,SC,77,117797,Blue,Red,Vroom,6623,6337,2025-12-09
2020,Kia,Optima,Sedan,Manual,E1MYF6L6XGJK1SK2K,KY,79,84271,Beige,Beige,Hendrick Automotive,11274,12035,2026-02-25
2006,Chrysler,300,Sedan,Manual,EHEKP4UBTBUYZPK4R,NV,34,267103,Gold,Red,Hertz Remarketing,1347,1392,2025-12-12
2015,Nissan,Sentra,Sedan,Automatic,4DVNRPELFYX3WHP1L,IL,56,139572,Gray,Gray,Lithia Motors,2569,2749,2025-12-22
2008,Honda,HR-V,SUV,Automatic,6SCLHHD02LJUHJSZJ,GA,44,230083,White,Black,Enterprise Fleet Management,1242,1170,2026-01-30
2020,Hyundai,Sonata,Sedan,Automatic,V01P2RFCD23MF0FBK,MA,77,106569,White,White,Crankyanky Auto,9911,10594,2026-01-29
2024,Hyundai,Tucson,SUV,Automatic,RS2Y530RYY614WER8,MO,76,14831,Gold,Red,Shift,21722,21051,2026-02-02
2018,Tesla,Model 3,Sedan,Automatic,5YDJJLAVNUDA7AG8M,VA,78,97961,Silver,Tan,Hendrick Automotive,10936,10639,2026-01-25
2001,Hyundai,Elantra,Sedan,Manual,99JYWH8WDM8421CU1,MN,24,341844,Green,Tan,Carvana,549,571,2025-12-20
2018,BMW,5 Series,Sedan,Automatic,0ERJ2KKZ1FHY0312B,AZ,83,85279,Gray,Brown,Ford Motor Credit Company,18169,16860,2025-12-02
2016,Am General,M1097A,Truck,Automatic,GZUZ94AHW1MRTCXV7,TX,68,102081,Gold,Brown,Ford Motor Credit Company,3826,3532,2026-02-26
2022,Ford,F-250,Truck,Automatic,69LTK0ZPTT0X1G5L9,FL,78,33203,Brown,Red,Enterprise Fleet Management,34608,36153,2026-02-03
2017,Chrysler,300,Sedan,Manual,SVND6HPFZUNT62KLG,UT,41,101501,Silver,Tan,Lithia Motors,4377,4363,2026-01-17
2019,Tesla,Model 3,Sedan,Automatic,R8591XWC897PBL99L,NM,67,73852,Black,Brown,Avis Corporation,12085,12178,2026-02-05
2016,Ford,Windstar,Minivan,Automatic,13APBTGYU66VXFXBS,MA,63,154051,Silver,White,Ford Motor Credit Company,3512,3656,2026-01-27
2008,Nissan,Pathfinder,SUV,Manual,EFXZ4LJYDMSNSEGN0,NY,20,264590,Beige,Gray,Santander Consumer USA,725,706,2026-02-18
2024,Rivian,R1T,Truck,Automatic,2HRHPASVYPS5JV16F,AZ,94,14836,White,Black,Avis Corporation,72097,67965,2026-02-17
2026,Lucid,Air,Sedan,Automatic,7R25PHL5NM7M1AS1B,IL,100,298,Beige,Tan,Financial Services Remarketing,106447,108888,2026-02-07
2025,Ford,F-350,Truck,Automatic,91B55YU6VXDM30ART,UT,96,15106,Silver,Brown,Hertz Remarketing,65577,60817,2026-01-28
2023,Honda,Accord,Sedan,Automatic,CHTWB9GXXPGZPKM7R,IL,77,40909,Blue,Tan,DriveTime,19620,20854,2025-12-02
2016,Tesla,Model X,SUV,Automatic,FMZSKFZDPNVTPFB6X,NC,79,122869,Black,Red,Ford Motor Credit Company,17544,17734,2025-12-02
2018,Ford,Expedition,SUV,Manual,CWCWLGSJ5UKNYPEJX,TX,57,60346,Blue,Beige,Santander Consumer USA,12440,13242,2026-01-30
2011,Subaru,Outback,Wagon,Automatic,72647CNS5W4BUE5P0,OR,29,219941,Green,Beige,Ford Motor Credit Company,983,962,2026-01-22
2024,Rivian,R1S,SUV,Automatic,82YRX35G10871RY56,OR,84,28191,Green,Black,Nissan-Infiniti LT,61289,58904,2026-02-04
2015,Tesla,Model X,SUV,Automatic,6UXNGUKCB8J14U7J3,MI,49,137501,Silver,Brown,Penske Automotive,9179,9185,2026-02-04
2020,Toyota,RAV4,SUV,Automatic,31RMBRUJPK74XS69X,NC,69,90473,Red,White,CarMax,10664,10660,2026-01-22
2016,Mercedes-Benz,C-Class,Sedan,Manual,ZMHYC9WFWSDH6VBZF,OH,53,126184,Red,Gray,Carvana,6058,6497,2026-02-06
2021,Subaru,Outback,Wagon,Manual,MUDMERCJF68A14L36,NV,66,75205,Red,Beige,Penske Automotive,13386,14084,2026-01-01
2018,Hyundai,Tucson,SUV,Automatic,D1R1NBNYCZYE209EC,CO,67,79604,Black,Brown,Hertz Remarketing,7583,8170,2026-01-06
2018,Ford,Ranger,Truck,Automatic,0FZJDN28NYL6PPV76,NY,77,63431,White,Black,DriveTime,10870,11171,2026-02-03
2026,Jeep,Cherokee,SUV,Automatic,KXK0FSM54UD235B7U,MI,100,100,Gold,White,Penske Automotive,45480,46129,2026-01-07
2026,Jeep,Compass,SUV,Automatic,7P8V705GY44V68TZJ,IL,91,272,Green,Black,Financial Services Remarketing,34412,36174,2026-01-31
2016,Tesla,Model S,Sedan,Automatic,KPYR9V4EL8L2XP5PC,WI,42,150560,Green,Tan,DriveTime,7493,6931,2026-01-30
2024,Mercedes-Benz,GLC,SUV,Automatic,23VPNKXTC88Z0RUJA,NC,90,22922,Gold,White,Hendrick Automotive,44990,48513,2026-01-14
2020,Hyundai,Elantra,Sedan,Manual,HL9RJWCG72YP7NJR4,NC,76,58415,Blue,Black,Penske Automotive,10723,10330,2025-12-25
2026,Jeep,Compass,SUV,Manual,LHNFB2DVV3Z593824,MN,97,385,Gray,Black,TDAF Remarketing,37315,35711,2026-01-23
2016,Hyundai,Elantra,Sedan,Automatic,NTDW32RKNFBJ5W37M,GA,74,105275,Blue,White,Carvana,4875,4674,2025-12-23
2017,Hyundai,Sonata,Sedan,Automatic,MAET7J7BY0GNE98GP,UT,59,100831,Black,Black,DriveTime,4960,4865,2026-02-27
2022,Kia,Soul,Wagon,Automatic,LK4P52D4YLYX4FDX0,WA,69,38940,Brown,Brown,DriveTime,11712,12186,2026-01-17
2018,Volkswagen,Jetta,Sedan,Automatic,KPVMGBH4XN2HGUGZW,NM,64,110676,Gold,White,Vroom,4977,5286,2026-01-13
2018,Subaru,Outback,Wagon,Automatic,HJCDE0E65M41ZVCS3,TX,77,131516,Black,Gray,Vroom,7412,6905,2026-01-19
2019,Am General,M1097A,Truck,Manual,XD8SVLDK789D6FPLU,GA,87,80230,White,Brown,Wells Fargo Dealer Services,7406,7847,2026-02-01
2021,Kia,Soul,Wagon,Manual,9C7TPPVS2Y1JPR0J8,NV,64,42085,Beige,White,Ford Motor Credit Company,10092,9821,2026-01-28
2026,Ford,Edge,SUV,Automatic,KBPK85NBW4SMCUHDB,IL,94,319,Green,Gray,Enterprise Fleet Management,46070,47021,2026-02-17
2020,Jeep,Wrangler,SUV,Automatic,YDXECRV5E9NHFV2KS,NJ,68,88168,Blue,Beige,TDAF Remarketing,14927,15719,2026-01-22
2026,Chevrolet,Malibu,Sedan,Automatic,66KUTEJCF01XRD5Y2,OH,100,478,White,Black,Ford Motor Credit Company,37015,36689,2025-12-26
2018,Honda,Ridgeline,Truck,Automatic,WAXWKC8KV9RT0GK74,GA,54,61409,White,Beige,CarMax,9020,8975,2025-12-27
2021,Rivian,R1S,SUV,Automatic,N346MT3T8YWWD7189,MO,92,59872,White,Beige,AutoNation,45966,47508,2025-12-18
2017,Kaiser,M54,Truck,Automatic,R7SSRWDZEUJ7ASSN7,NJ,70,95913,Gray,White,Lithia Motors,3077,3239,2025-12-27
2018,Tesla,Model S,Sedan,Automatic,SBNZPYJW27UP9KLPY,UT,58,75229,Brown,Black,Avis Corporation,19289,20680,2025-12-20
2021,Rivian,R1S,SUV,Automatic,L02KSUFEZG5BUHY7M,NC,70,71332,Red,Brown,CarMax,34040,35947,2026-01-18
2003,BMW,3 Series,Sedan,Automatic,678MDBG9J7U8JGEBR,TX,20,255628,Gold,Gray,TDAF Remarketing,1280,1334,2025-12-28
2018,Subaru,Outback,Wagon,Automatic,8L57X3P7NP04DLCXN,VA,53,58586,Silver,Black,AutoNation,7313,7600,2026-02-26
2006,Chevrolet,Blazer,SUV,Automatic,P53JCL4H9A2B1PZT0,KS,17,182541,Gold,Tan,Avis Corporation,964,892,2026-01-29
2018,Mercedes-Benz,C-Class,Sedan,Automatic,15DDH9HHGB7PJTXS3,FL,54,67264,Silver,White,Sonic Automotive,10245,10787,2026-02-21
2019,Kaiser,M54,Truck,Manual,REBSKRZXFSBSWN46Z,MI,71,70597,Red,Black,Carvana,4540,4652,2025-12-14
2021,Tesla,Model 3,Sedan,Automatic,32859X79P3DBW8BB2,TX,54,68702,Beige,Brown,TDAF Remarketing,14146,14154,2026-02-11
2016,Am General,M1097A,Truck,Automatic,U9P5C0PLX3TTEA98X,IL,49,170171,Silver,Brown,Avis Corporation,1753,1672,2026-01-28
2023,Hyundai,Tucson,SUV,Automatic,06FWATXULT9344KFT,IN,84,37535,Blue,Tan,Hendrick Automotive,21507,20064,2026-02-21
2022,Honda,Odyssey,Minivan,Automatic,2144X4RM2B155UN8D,TN,78,56703,Green,Brown,Avis Corporation,22591,22144,2026-02-05
2021,Lucid,Air,Sedan,Automatic,FUUGGKBTPA39N1CLW,IN,56,31261,Brown,Tan,TDAF Remarketing,34612,35427,2025-12-12
2024,Dodge,Ram 2500,Truck,Automatic,5MEYCERE167XE0MUH,NJ,84,15258,Beige,Gray,Santander Consumer USA,47947,48961,2025-12-29
2021,Rivian,R1T,Truck,Automatic,CNKTBZ8H7CDD037HL,NV,89,53446,Red,Red,AutoNation,44828,47064,2026-01-11
2021,Am General,M1097A,Truck,Automatic,J82D4VD63WY2DMDE4,IN,69,56947,Brown,White,Hendrick Automotive,9314,8591,2025-12-11
2026,Lucid,Air,Sedan,Automatic,Y458F02G209VVC62U,CO,84,479,Brown,Gray,DriveTime,91591,95636,2026-02-02
2016,Nissan,Rogue,SUV,Automatic,UCCR7BDF0NLXKFEBE,CA,63,167892,White,Tan,AutoNation,3653,3922,2026-01-04
2000,Chevrolet,Equinox,SUV,Automatic,T4GMJNYAP3A92AZ84,MI,12,292267,Green,Brown,DriveTime,485,502,2026-01-04
2016,BMW,X5,SUV,Automatic,J3JGLW2HFEMH688MP,KY,63,149943,Brown,Red,AutoNation,9215,9197,2026-01-16
